page,plate,subindustry,company,rev_2q26,rev_2026,rev_yoy_2q26,rev_yoy_2026,np_2q26,np_2026,np_yoy_2q26,np_yoy_2026,beat,logic,row_top,row_bottom
4,非银,保险,友邦保险 中国太保 中国人保 中国平安,n.a126 574195 969323 928,n.a443 990691 3641 126 892,n.a19%17%21%,n.a2%3%7%,n.a268752306261675,75786670350021159200,n.a47%,22%25%7%18%,V,全球资产配置的负债端成长性标的 A股估值最低，资产负债表现稳健，Q3基数不高全年利润预计正增长 长期投资标的，寿险负债成本下降、财险承保持续改善、健康险利润快速 释放 高股息标的，全年利润基数不高预计正增长,0.22077,0.37939
4,非银,券商,广发证券,13 151,47593,61%,34%,5260,17983,,31%,,再融资增资海外子公司，国际化布局将提速,0.37939,0.40556
4,非银,券商,国泰海通,23 526,77826,94%,23%,9646,30394,,9%,,综合实力领先，行业推进建设国际一流投行的潜在标的,0.40556,0.43173
4,非银,券商,中国银河,8 853,32620,43%,15%,4117,14826,,18%,,传统经纪业务受益于高成交额，境外业务占比持续提升,0.43173,0.45789
4,非银,券商,东方证券,4 974,18651,90%,21%,2139,70710,,26%,,吸收合并上海证券后，综合实力有望提升,0.45789,0.48487
4,非银,券商,香港交易所,8 288,33183,16%,14%,5263,20526,,16%,,受益于成交额高增带来的戴维斯双击,0.48487,0.51104
4,非银,券商,渤海租赁,12 395,46274,9%,-13%,1137,3529,,969%,V,资产端受益于飞机行业高景气度，负债端受益于成本率下行,0.51104,0.5372
4,非银,券商,江苏金租,1 614,6537,10%,10%,853,3591,,10%,,聚焦小微零售，量价双驱+三位一体风控构筑护城河,0.5372,0.56337
4,非银,券商,南华期货 中国船舶租赁 中银航空租赁 中信股份,682n.a.n.a.n.a.,186341342777814201,20%n.a.n.a.n.a.,34%2%6%6%,246n.a.n.a.n.a.,696205183561856,,43%11%30%5%,,A股市场稀缺期货上市标的，境外业务行业领先 高股息标的，受益于油运行业高景气度，股息率约6% 高股息标的，受益于飞机租赁行业高景气度，股息率约5% 高股息标的，业绩稳健，股息率约6%,0.56337,0.66885
4,非银,多元,易鑫集团,n.a.,13006,n.a.,13%,n.a.,1522,,27%,,二手车业务扩张、渗透率提升驱动业绩高速增长,0.66885,0.69501
4,非银,多元,远东宏信,n.a.,36889,n.a.,3%,n.a.,4041,,4%,,高股息标的，业绩稳健，股息率超9%,0.69501,0.72118
4,非银,多元,湘财股份,592,2891,13%,19%,102,527,,14%,,金融科技赋能的特色财富管理发展路径，拟吸收合并大智慧具备想象空间,0.72118,0.77433
4,非银,多元,中油资本,8 301,39607,-6%,1%,2792,4931,,4%,,背靠中国石油集团，产业链客户资源丰富，盈利具备韧性,0.77433,0.80049
4,非银,多元,四川双马,309,1575,2%,47%,156,441,,48%,,围绕多肽打造创新药产业平台，科技赛道投资能力卓越+政策支持创投的 背景下项目退出有望加速，业绩高弹性修复可期,0.80049,0.85364
4,非银,多元,中国光大控股,n.a.,1704,n.a.,4%,n.a.,-690,n.a.,-66%,,国内领先的跨境投资与资产管理平台，拥有超28年私募股权投资经验,0.85364,0.90679
4,非银,多元,盛业,n.a.,1494,n.a.,23%,n.a.,622,n.a.,30%,,“Al +产业供应键”的数智科技公司，深耕基建、医药医疗、大宗商品等 国家支柱行业，积极布局电商、机器人、AI应用等战略新兴产业,0.90679,0.9861
5,医药,药品,百济神州,（百万元，人民币）2Q2611 400,202649 500,（%）2026 202619%,20%,（百万元，人民市）2Q261 190,20265 390,增速（%）2Q26200%,2026140%,超市场预期,一句话推荐逻辑 泽布替尼延续高速放量态势，维持全球BTKi市场领导地位，盈利能力加速 改善。研发管线高效推进，研发进展催化密集。,0.0983,0.20511
5,医药,药品,三生国健,420,1 800,28%,-57%,160,610,84%,-79%,V,SSGJ- 707辉瑞牵头开展多项全球I期里程碑逐步兑现及后续销售分成预期，自研 管线近两年有望陆续获批,0.20511,0.28766
5,医药,药品,君实生物,968,3 344,45%,34%,,-495,-,-,,Q3出PD1/VEGF双抗联合EGFR/HER3 ADC的数据，存在BD机遇,0.28766,0.31489
5,医药,药品,康诺亚,-,2 871,-,301%,,1 098,-,-,V,CM310销售放量超预期，CM512数据读出在即，长效优势明显，且26H2 有多催化剂,0.31489,0.37021
5,医药,药品,药明康德,13 931,54 330,25%,20%,4623,19530,27%,31%,J,Tides业务快速放量，小分子DM全球竞争力领先,0.37021,0.39745
5,医药,CXO,药明合联,3650（上半年）,8 040,-,35%,980（上半年）,2090,-,34%,,ADC行业景气度旺盛，公司逐步由向商业化放量推进,0.39745,0.45277
5,医药,CXO,凯莱英,1 950,8 070,18%,21%,350,1580,25%,26%,,持续布局ADC、GLP-1等新分子业务，业绩快速增长,0.45277,0.48
5,医药,CXO,迈瑞医疗,9 015,35 945,6%,8%,2 614,8 200,7%,1%,,国内医疗设备需求逐步复苏，海外诊断及新业务快速增长,0.48,0.50809
5,医药,CXO,惠泰医疗,812,3 230,25%,25%,284,1 001,23%,22%,,电生理PFA新产品快速推广，血管介入持续国产替代,0.50809,0.53447
5,医药,医疗器械,鱼跃医疗,2 334,8 432,5%,6%,490,1 602,-15%,8%,,CGM等系产品份额持续提升，海外市场拓展逐步进入收获期,0.53447,0.70298
5,医药,医疗器械,安图生物,1 192,4 563,12%,8%,334,1 086,11%,2%,,国内降价影响逐步进入尾声，分子质谱等新产品拓展迅速,0.70298,0.73021
5,医药,生物制品,心脉医疗 甘李药业,4321 200,1 5944 500,13%11%,18%11%,190400,6381 430,3%37%,13%30%,,外周介入产品注册完善，海外市场高速增长 三代胰岛素龙头，研发及出海进度领跑,0.73021,0.78468
5,医药,生物制品,特宝生物,1 046,4 435,25%,20%,308,1 250,25%,21%,,慢乙肝治愈龙头，长效干扰素持续放量，生长激素贡献增量业绩,0.78468,0.81277
5,医药,医疗服务,爱尔眼科,5810,24141,6%,8%,1061,2975,6%,-8%,,眼科医疗服务龙头，屈光高端术式放量贡献增长,0.81277,0.84
5,医药,医疗服务,通策医疗 华厦眼科,8091119,32634470,15%7%,12%8%,158142,562476,15%7%,12%8%,,齿科医疗服务龙头，大部制改革初显成效 眼科医疗服务龙头，屈光高端术式放量贡献增长,0.84,0.89447
5,医药,药店,益丰药房,6 055,26 472,6%,8%,484,1 886,13%,12%,,内生增长有望继续稳健表现，同时26年有望重启并购，外延打开增长空间,0.89447,0.94979
5,医药,药店,大参林,6 796,28 958,4%,5%,423,1 471,25%,19%,,降本增效成果显著，26年继续在自建并购加盟方面加速扩张。,0.94979,0.97702
6,医药,中药,济川药业,1 223,6 224,0%,0%,298,1 783,5%,0%,,在手现金充足、高股息中药标的。,0.03125,0.04977
6,电新,中药,爱旭股份,0,5050~510 20350~20400,18%,30%,-200~-250,500~550,同比亏损,同比扭亏,,BC路线唯二量产企业，有望率先走出周期底部,0.20255,0.24016
6,电新,中药,迈为股份,,1450~150 9000~9050,-26%,11%,90~140,700~750,-50%,0%,,GW级方案引领HJT产业化加速，半导体、显示领域再获突破。,0.24016,0.27778
6,电新,中药,福斯特 横店东磁 隆基绿能 天合光能 晶科能源 阿特斯,400056001500020000150009000,160002300060000780006000038000,-8%-17%-22%20%-17%-28%,3%2%-15%16%-8%-6%,130~170-1300~-1000-2000~-13000~300-1300~-1000200~400,500~700-3500~-2000-5000~-3000-1000~500-3000~-20001500~2000,217%-33%-46%109%24%-56%,69%0%38%96%64%72%,,光伏胶膜龙头，成本优势显著，电子材料逐步放量 磁材+新能源双轮驱动，差异化战略保障光伏盈利领先 硅片、一体化龙头，BC出货量逐季提升，有望率先走出底部 一体化龙头，储能快速放量，分布式、支架等多业务协同发展 一体化龙头，TOPCon技术行业领先 一体化及大储龙头，大储盈利维持较高水平,0.27778,0.4838
6,电新,光伏,晶澳科技,9500,43000,-28%,-12%,-2000~-1300,-5000~-3000,-22%,40%,,一体化龙头,0.4838,0.52141
6,电新,光伏,通威股份 TCL中环 永臻股份 联泓新科,11000650025002300,6000028000120009000,-55%-11%-20%68%,-29%-4%12%42%,300~450-3000~-2200-1800~-15000~25,1700~2000-8000~-6000-6000~-4000100~200,-10%29%-50%68%,27%46%168%96%,,多晶硅、电池片双龙头，成本行业领先 光伏硅片龙头 光伏边框龙头，越南产能高溢价，收购捷诺威布局液冷第二成长曲线 EVA树脂龙头，电解液溶剂、VC、隔膜原材料等锂电材料逐步放量,0.52141,0.6713
6,电新,光伏,福莱特,3300,14000,-10%,-10%,150~450,1200~1400,-165%,-100%,,光伏玻璃龙头，成本持续领先行业,0.6713,0.70891
6,电新,光伏,美畅股份,550,2400,-6%,11%,-300~100,-200~200,55%,105%,,金刚线龙头，钨丝快速渗透带动盈利修复,0.70891,0.72801
6,电新,光伏,捷佳伟创,1450~150,6500~6550 -65%,,-58%,70~110,400~600,-78%,-59%,,TOPCon电池片设备龙头，平台化布局拓宽公司成长空间。,0.72801,0.75984
6,电新,储能,奥特维 高测股份 拉普拉斯 帝尔激光 聚和材料 阳光电源,028160 05,2050~210 7450~7500950~1000 4150~42001350~140 5450~5500 -15%650~700 2600~26505500~555 22050~22100106592,12%27%11%61%15%,17%14%0%29%51%20%,100~1500~50150~200150~200250~3003000,600~650150~200650~700650~7001000~105015802,-25%同比扭亏21%7%202%-26%,40%同比扭亏8%30%144%17%,,光伏业务订单企稳，光模块检测设备+固态设备重新打开想象空间 充分发挥技术闭环研发优势，新产品迭代助力公司穿越周期。 BC镀膜设备市占率接近100％，新技术迭代推动量价齐升。 光伏激光技术开拓者，全电池路线产品布局，龙头地位稳固 光伏银浆龙头，收购blankmask海外公司，搭建平台型材料企业。 光储龙头，转型AIDC电源,0.75984,0.95949
6,电新,储能,德业股份,5344 2,20710,80%,69%,1900,5447,133%,72%,,光储龙头，户储&工商储高增长,0.95949,0.97801
6,电新,储能,科士达,1523 75,6952,25%,32%,190,904,32%,48%,,UPS&户储龙头，数据中心业务高景气,0.97801,0.99711
7,电新,液冷,科创新源,,500~550 2000~2050 82% 75%,,,0~50,200~250,233%,525%,,"“材料＋部件""垂直整合，卡位服务器液冷赛道前排",0.03141,0.06143
7,电新,液冷,宁德时代,160000~170000,600000,70%,40%,24000~26000,100000,52%,39%,,锂电龙头，盈利、份额均呈现超额韧性+弹性,0.06143,0.09145
7,电新,液冷,恩捷股份 星源材质,4485~46801100~130,186006000,50% 37%20%,45%,300~350120~180,2000480~720,同比扭亏178%,1300%1567%,V,锂电隔膜龙头，盈利、份额均呈现超额韧性+弹性 Q2干法、湿法价格利润均呈现改善，业绩修复弹性大,0.09145,0.15381
7,电新,液冷,厦钨新能,6706.720,26150,52%,30%,230~260,1100,29%,46%,,钴酸锂稳健龙头，硫化锂、NL结构正极等新技术领先,0.15381,0.18199
7,电新,液冷,天赐材料,7600~8000,33000,118%,99%,1400~1700,6700,1213%,392%,,锂电电解液龙头，盈利、份额均呈现超额韧性+弹性,0.18199,0.21062
7,电新,锂电,亿纬锂能,24658,99323,60%,62%,1684~1925 7000~7500,,257%,74%,,储能电池领军企业，高稼动率，盈利稳健,0.21062,0.24065
7,电新,锂电,蔚蓝锂芯 鹏辉能源 富临精工 湖南裕能,28007600650016000,10071231463626863622,40%191%109%111%,24%94%169%84%,280~320450~500300~3501000~1500 3800~4500,1100~13001700~2000-1198%1600~1800,52%610%545%,55%725%298%213%,V,小圆柱电池龙头，全极耳电池开始放量 储能电池领军企业，大储+户储盈利修复 高压实铁锂龙头企业，份额、盈利稳步上行 铁锂龙头企业，受益碳酸锂库存+铁锂提价,0.24065,0.36028
7,电新,锂电,万润新能,4600,28311,113%,146%,300~350,1100~1400,-318%,转正,,铁锂领军企业，受益碳酸锂库存+铁锂提价,0.36028,0.3903
7,电新,锂电,尚太科技,2450,10132,39%,28%,220~250,1100~1300,0%,27%,,负极龙头企业，受益提价,0.3903,0.42032
7,电新,锂电,中科电气,2800,11042,39%,30%,70~100,75~85,-42%,38%,,负极龙头企业，受益提价,0.42032,0.43557
7,电新,锂电,璞泰来,5100,20555,32%,31%,700~730,3000~3400,27%,81%,,隔膜涂覆龙头企业，受益隔膜、负极、PVDF等需求增长,0.43557,0.46513
7,电新,氢能,科达利,4700,20115,30%,32%,500~550,2200~2400,38%,981%,,结构件龙头企业，受益电池需求增长,0.46513,0.49515
7,电新,氢能,多氟多,3700,16904,,79%,400~500,2000~2200,转正,2455%,,6F企业，受益6F价格高位及氟化工涨价,0.49515,0.52517
7,电新,氢能,华盛锂电,400,1500,,73%,,,转正,,,VC龙头，受益VC价格高位,0.52517,0.53995
7,电新,氢能,海科新源 嘉泽新能,1600600,72002530,,43%1%,,,转正-40%,,,溶剂龙头，受益VC价格高位及丙二醇提价 绿醇核心标的加速布局，风电主业稳增提供安全边际,0.53995,0.56952
7,电新,氢能,华电科工,2900,12014,,15%,,,4%,,,电解槽头部公司，海风工程今年30亿项目已开工贡献利润增量,0.56952,0.58476
7,电新,氢能,科威尔,200,638,,24%,,,60%,,,拓展数据中心测试电源业务，光储、锂电设备底部企稳，再迎成长,0.58476,0.59954
7,电新,氢能,电投绿能 思源电气,35007115,1395328500,,6%32%,,,310%30%,,,绿醇5万吨项目已投产，辐射海外，LNG储运罐和加注船需求旺盛 输变电一次设备民企龙头，海外业务快速增长,0.59954,0.6291
7,电新,氢能,金塩科技,2264,9500,,30%,,,30%,,,AIDC配电变压器龙头，海外订单持续兑现，SST进展顺利,0.6291,0.64388
7,电新,氢能,三星电气,4341,16500,,15%,,,20%,,,配用电&医疗双轮驱动，海外配电业务进展迅速,0.64388,0.65912
7,电新,中网则T坨,明阳电气,1410,8000,,16%,126,700,-35%,,,深耕新能源变压器，海风、储能、数据中心下游扩容＋新品类拓展＋出海贡 献成长性,0.65912,0.68868
7,电新,中网则T坨,平高电气,3504,14500,,16%,352,1350,15%,,,高压开关龙头，受益于特高压、配网建设,0.68868,0.70346
7,电新,中网则T坨,中国西电,7163,28000,18%,18%,,1550,25%,,,一次设备龙头，受益特高压&主网建设，网外&海外市场贡献新增量,0.70346,0.73349
