page,plate,subindustry,company,rev_2q26,rev_2026,rev_yoy_2q26,rev_yoy_2026,np_2q26,np_2026,np_yoy_2q26,np_yoy_2026,beat,logic,row_y
1,电子,半导体芯片,澜起科技,1700,7100,20%,30%,1000,4500,58%,101%,,DDR5接口芯片受益于行业加速，CXL和Retimer芯片等新业务持续放量,0.57364
1,电子,半导体芯片,江波龙,15000,65000,153%,186%,6000,25000,NA,1656%,,存储模组龙头，深度受益存储芯片涨价,0.59538
1,电子,半导体芯片,北京君正,2500,10000,110%,111%,600,3000,364%,697%,,行业市场需求稳定，消费类sOc受益于行业智能化加速。,0.61015
1,电子,半导体芯片,寒武纪,4000,20000,126%,208%,1800,13000,NA,531%,,国产GPU龙头厂商， 下游客户开始放量,0.62414
1,电子,半导体芯片,海光信息,5500,24000,79%,67%,1500,5500,116%,116%,,国产CPU龙头厂商，CPU+GPU一站式布局,0.63953
1,电子,半导体芯片,普冉股份,2500,10000,400%,331%,800,3000,3493%,1346%,V,Al终端需求爆发＋存储涨价周期，并购SHM切入2D NAND赛道,0.65349
1,电子,半导体芯片,扬杰科技,2400,9500,28%,29%,450,1850,37%,47%,,海外业务回暖，整体业绩稳中向好，加大汽车、AI等新兴领域投入力度,0.67519
1,电子,半导体芯片,捷捷微电,1200,4500,30%,30%,200,750,48%,57%,,944,0.69612
1,电子,半导体芯片,新洁能,650,2500,35%,33%,160,650,26%,64%,,在手订单饱满，新兴领域持续放量,0.71086
1,电子,,天岳先进,430,1800,11%,23%,15,100,650%,扭亏,,SiC 8寸衬底在海外眼镜客户放量，CoWoS有望在封装使用SiC材料,0.73258
1,电子,,英诺赛科,600,2300,55%,70%,-50,-200,50%,50%,,硅基氮化镓全球行业龙头，8英寸产能全球领先,0.75581
1,电子,半导体材料,安集科技,796,3365,34%,34%,258,949,25%,21%,,抛光液龙头，业绩稳健增长,0.76977
1,电子,半导体材料,鼎龙股份,889,4015,-2%,10%,299,1261,53%,59%,V,抛光垫龙头，半导体材料平台公司，业绩快速增长,0.78372
1,电子,半导体材料,雅克科技,2803,10094,29%,17%,442,1388,46%,35%,V,通过跨境并购转型为半导体材料平台型企业，前驱体业务营收全球前三， 同时是国内LNG保温绝热材料打破国外垄断的独家供应商,0.8062
1,电子,半导体材料,兴福电子,430,2099,24%,42%,68,371,33%,81%,,%），深度绑定长江存储、中芯国际等头部晶圆厂，受益国产替代与扩产,0.84341
1,电子,半导体材料,飞凯材料,944,3938,24%,22%,133,594,33%,46%,,、临时键合方案）、液晶显示材料，构建多元化材料矩阵，并在第三代半,0.88682
1,电子,半导体材料,立昂微,1200,4636,42%,32%,-17,113,减亏,扭亏,,能源汽车等场景，受益于AI算力对功率器件硅片需求的拉动；同时是国内,0.931
1,电子,半导体材料,沪硅股份,1190,5328,33%,43%,-545,-2146,亏损扩大,亏损扩大,,国内半导体硅片龙头，12英寸大硅片国产化核心供应商，受益于晶圆厂扩 产与国产替代长期趋势,0.96744
1,电子,半导体材料,西安奕材,881,3445,36%,30%,-126,-601,减亏,减亏,,国内12英寸硅片领域的重要新兴力量，聚焦大硅片国产化,0.98827
2,电子,,华大九天,327,1582,22%,19%,-17,-60,亏损扩大,转亏,,国内EDA（电子设计自动化）全流程工具链龙头，模拟电路设计EDA工具,0.02546
2,电子,EDA,概伦电子,151,559,19%,16%,15,25,-67%,-28%,,专注器件建模和电路仿真EDA工具，在存储器设计领域具备差异化竞争优,0.06619
2,电子,消费电子,广立微,239,954,33%,30%,36,121,21%,38%,,聚焦芯片良率提升领域的EDA软件与测试设备，在晶圆厂良率管理环节具,0.10275
2,电子,消费电子,立讯精密,72500,404230,16%,22%,4350,22232,21%,34%,,算力电连接产品导入海外大客户+AI端侧升级+苹果销量有望超预期,0.14358
2,电子,消费电子,领益智造,12700,57343,5%,11%,370,3200,2%,40%,,苹果业务稳健增长，积极布局AI液冷,0.17006
2,电子,消费电子,三环集团,3350,13866,45%,54%,1072,4437,52%,69%,,SOFC伴随海外大客户放量+顺周期需求回暖+MLCC国产替代加速,0.19043
2,电子,消费电子,顺络电子,2150,8832,22%,31%,270,1237,7%,21%,,Al电感放量+车载业务放量＋新兴领域布局,0.21087
2,电子,消费电子,江海股份,1850,7734,20%,41%,240,1005,16%,49%,,光储业务底部向上+超容/牛角电容在AI服务器应用,0.22909
2,电子,消费电子,蓝特光学,567 0,2184,76%,42%,170,701,194%,80%,,微棱镜、模造玻璃、半导体光学业务快速增长,0.24745
2,电子,海外科技（百,（GAAP利润,91239,429888,95%,99%,51500,227600,100%,90%,V,全球最大GPU公司,0.28823
2,电子,海外科技（百,台积电,40000,125180,33%,37%,19800,83300,54%,53%,V,全球最大晶圆代工厂,0.32702
2,电子,海外科技（百,博通,29931,108269,88%,70%,15900,51722,89%,53%,,全球最大交换机芯片公司,0.34736
2,电子,海外科技（百,（调整后利润,4450,19273,67%,56%,260,1179,56%,68%,,AI服务器及交换机代工,0.38391
2,电子,万美元）,（调整后利润,11200,55306,46%,60%,2650,13391,239%,96%,,全球知名CPU/GPU公司,0.44196
2,电子,万美元）,（调整后利润,470,2451,110%,84%,230,960,134%,48%,,全球AEC龙头,0.5
2,通信,国产芯片,寒武纪,4500,156 86,154%,141%,18 00,51 22,164%,149%,V,国产大模型与芯片加速迭代，公司作为芯片龙头持续受益,0.65682
2,通信,国产芯片,中际旭创,289 12,937 56,133%,145%,85 00,298 07,252%,176%,,800G高景气延续、1.6T率先放量，硅光与高端产品结构升级驱动利润弹性,0.68941
2,通信,光模块,新易盛,114 11,490 98,79%,98%,38 00,185 34,60%,94%,,下游AI大客户需求持续旺盛，800G主力产品放量叠加1.6T交付改善推动业,0.81772
2,通信,光模块,天孚通信,16 22,87 42,7%,69%,600,33 30,7%,65%,,光引擎及高速光器件需求稳步释放，CPO/1.6T产业趋势继续支撑中长期成 长,0.85743
2,通信,光模块,源杰科技,495,16 59,311%,176%,250,7 72,674%,305%,,数据中心CW光源加速放量，公司作为光芯片核心标的迎来业绩高弹性释,0.89613
2,通信,光模块,太辰光,9 33,28 77,104%,86%,180,6 28,92%,110%,,高密度光连接器需求恢复增长，受益北美AI数据中心与CPO/010光互联升 级趋势,0.93369
2,通信,光模块,亨通光电,403 23,838 83,115%,25%,25 00,69 58,137%,160%,,光通信与能源互联业务共振增长，海缆、光纤光缆及海外需求释放推动业,0.97149
3,计算机,国产算力,寒武纪,4 500,,150%,,15,,300%,,,,0.13851
3,计算机,国产算力,海光信息,5 515,,80%,55%,1 217,,75%,77%,,,0.15878
3,计算机,国产算力,中科曙光,3 851,,18%,18%,678,,25%,34%,,,0.17905
3,计算机,国产算力,科大讯飞,7 191,,15%,19%,-32,,30%,40%,,,0.22185
3,计算机,智能汽车,拓尔思,127,,6%,8%,-43,,15%,16%,,,0.26467
3,计算机,信创,达梦数据,,,30%,30%,,,30%,30%,,,0.34797
3,计算机,信创,中国软件,,,10%,12%,,,50%,60%,,,0.37053
3,计算机,信创,太极股份,,,10%,12%,,,80%,120%,,,0.39077
3,计算机,信创,神州数码,,,6%,8%,,,30%,35%,,,0.41104
3,计算机,医疗IT,卫宁健康,,,10%,12%,,,60%,80%,,,0.43128
3,计算机,医疗IT,创业慧康,,,8%,10%,,,60%,70%,,,0.45383
3,计算机,医疗IT,润达医疗,,,8%,10%,,,55%,65%,,,0.47416
3,计算机,医疗IT,金山办公,,,20%,25%,啵mB晚起形晚亚这经死206刚,,20%,25%,,,0.49437
3,计算机,云计算,广联达,,,6%,7%,,,40%,50%,,,0.51565
3,计算机,云计算,用友网络,,,8%,10%,,,30%,40%,,,0.53716
3,计算机,云计算,石基信息,,,25%,30%,,,80%,120%,,,0.55743
3,计算机,云计算,浪潮信息,,,20%,35%,,,120%,30%,,,0.57888
3,计算机,算力租赁,万兴科技,,,15%,16%,,,80%,120%,,,0.60016
3,计算机,算力租赁,协创数据,,,68%,68%,,,280%,108%,,,0.6205
3,传媒互联网,互联网媒体,腾讯控股,203856,829091,11%,10%,66835,260145,6%,0 2%,,主业收入稳健增长，但短期AI Capex加大影响利润，微信AI,0.80405
3,传媒互联网,互联网媒体,哔哩哔哩,7922,33054,8%,9%,687,3092,22%,19%,V,yoy+30%，显著跑赢大盘，预计全年高增速维持；26H2新游上线周期关,0.85811
3,传媒互联网,互联网电商,阿里巴巴,269182,1121775,9%,10%,24923,107037,-17%,66%,,悲观情绪已较充分体现，静待多重基本面拐点,0.89977
3,传媒互联网,旅游综合,携程,15925,69097,7%,11%,4370,17457,-2%,-45%,,宏观影响+运营调整，Q2业绩或承压,0.92008
3,传媒互联网,广告营销,分众传媒,3418,13534,5%,6%,1622,6075,6%,106%,,主业稳健，业绩具备韧性,0.94032
3,传媒互联网,光学光电子,禾赛,867,4363,23%,44%,93,591,27%,7%,V,主业盈利持续兑现，物理AI打开成长曲线,0.96284
4,非银,保险,众安在线,n.a,n.a,n.a,n.a,n.a,1466,n.a,33%,,预计2026年全年利润仍将延续高弹性增长,0.15694
4,非银,保险,中国太平,n.a,n.a,n.a,n.a,n.a,20277,n.a,-25%,V,估值低，上半年利润低基数,0.18472
4,非银,保险,新华保险,59 429,154 830,62%,-2%,16172,41460,81%,14%,V,Q2负债端高增长，强贝塔+较强的投资能力,0.20972
4,非银,保险,友邦保险,n.a,n.a,n.a,n.a,n.a,7578,n.a,22%,,全球资产配置的负债端成长性标的,0.23734
4,非银,保险,中国太保,126 574,443 990,19%,2%,26875,66703,47%,25%,,A股估值最低，资产负债表现稳健，Q3基数不高全年利润预计正增长,0.27639
4,非银,保险,中国人保,195 969,691 364,17%,3%,23062,50021,,7%,V,长期投资标的，寿险负债成本下降、财险承保持续改善、健康险利润快速,0.32917
4,非银,券商,中国平安,323 928,1 126 892,21%,7%,61675,159200,,18%,,高股息标的，全年利润基数不高预计正增长,0.36806
4,非银,券商,广发证券,13 151,47593,61%,34%,5260,17983,,31%,,再融资增资海外子公司，国际化布局将提速,0.39444
4,非银,券商,国泰海通,23 526,77826,94%,23%,9646,30394,,9%,,综合实力领先，行业推进建设国际一流投行的潜在标的,0.42083
4,非银,券商,中国银河,8 853,32620,43%,15%,4117,14826,,18%,,传统经纪业务受益于高成交额，境外业务占比持续提升,0.44583
4,非银,券商,东方证券,4 974,18651,90%,21%,2139,70710,,26%,,吸收合并上海证券后，综合实力有望提升,0.47222
4,非银,券商,香港交易所,8 288,33183,16%,14%,5263,20526,,16%,,受益于成交额高增带来的戴维斯双击,0.49861
4,非银,券商,渤海租赁,12 395,46274,9%,-13%,1137,3529,,969%,V,资产端受益于飞机行业高景气度，负债端受益于成本率下行,0.525
4,非银,券商,江苏金租,1 614,6537,10%,10%,853,3591,,10%,,聚焦小微零售，量价双驱+三位一体风控构筑护城河,0.55139
4,非银,,南华期货,682,1863,20%,34%,246,696,,43%,,A股市场稀缺期货上市标的，境外业务行业领先,0.57639
4,非银,,中国船舶租赁,n.a.,4134,n.a.,2%,n.a.,2051,,11%,,高股息标的，受益于油运行业高景气度，股息率约6%,0.60417
4,非银,多元,中银航空租赁,n.a.,2777,n.a.,6%,n.a.,835,,30%,,高股息标的，受益于飞机租赁行业高景气度，股息率约5%,0.63194
4,非银,多元,中信股份,n.a.,814201,n.a.,6%,n.a.,61856,,5%,,高股息标的，业绩稳健，股息率约6%,0.65833
4,非银,多元,易鑫集团,n.a.,13006,n.a.,13%,n.a.,1522,,27%,,二手车业务扩张、渗透率提升驱动业绩高速增长,0.68472
4,非银,多元,远东宏信,n.a.,36889,n.a.,3%,n.a.,4041,,4%,,高股息标的，业绩稳健，股息率超9%,0.70694
4,非银,多元,湘财股份,592,2891,13%,19%,102,527,,14%,,金融科技赋能的特色财富管理发展路径，拟吸收合并大智慧具备想象空间,0.74861
4,非银,多元,中油资本,8 301,39607,-6%,1%,2792,4931,,4%,,背靠中国石油集团，产业链客户资源丰富，盈利具备韧性,0.79044
4,非银,多元,四川双马,309,1575,2%,47%,156,441,,48%,,围绕多肽打造创新药产业平台，科技赛道投资能力卓越+政策支持创投的,0.8277
4,非银,,中国光大控股,n.a.,1704,n.a.,4%,n.a.,-690,n.a.,-66%,,国内领先的跨境投资与资产管理平台，拥有超28年私募股权投资经验,0.88194
4,非银,,盛业,n.a.,1494,n.a.,23%,n.a.,622,n.a.,30%,,,0.94861
5,医药,药品,百济神州,11 400,49 500,19%,20%,1 190,5 390,200%,140%,,泽布替尼延续高速放量态势，维持全球BTKi市场领导地位，盈利能力加速,0.17985
5,医药,药品,三生国健,420,1 800,28%,-57%,160,610,84%,-79%,V,707辉瑞牵头开展多项全球I期里程碑逐步兑现及后续销售分成预期，自研,0.25
5,医药,药品,君实生物,968,3 344,45%,34%,,-495,-,-,,Q3出PD1/VEGF双抗联合EGFR/HER3 ADC的数据，存在BD机遇,0.30556
5,医药,药品,康诺亚,-,2 871,-,301%,,1 098,-,-,V,CM310销售放量超预期，CM512数据读出在即，长效优势明显，且26H2,0.34378
5,医药,,药明康德,13 931,54 330,25%,20%,4623,19530,27%,31%,J,Tides业务快速放量，小分子DM全球竞争力领先,0.38596
5,医药,CXO,药明合联,,8 040,-,35%,,2090,-,34%,,ADC行业景气度旺盛，公司逐步由向商业化放量推进,0.42836
5,医药,,凯莱英,1 950,8 070,18%,21%,350,1580,25%,26%,,持续布局ADC、GLP-1等新分子业务，业绩快速增长,0.46912
5,医药,,迈瑞医疗,9 015,35 945,6%,8%,2 614,8 200,7%,1%,,国内医疗设备需求逐步复苏，海外诊断及新业务快速增长,0.49708
5,医药,,惠泰医疗,812,3 230,25%,25%,284,1 001,23%,22%,,电生理PFA新产品快速推广，血管介入持续国产替代,0.52339
5,医药,医疗器械,鱼跃医疗,2 334,8 432,5%,6%,490,1 602,-15%,8%,,CGM等系产品份额持续提升，海外市场拓展逐步进入收获期,0.69152
5,医药,医疗器械,安图生物,1 192,4 563,12%,8%,334,1 086,11%,2%,,国内降价影响逐步进入尾声，分子质谱等新产品拓展迅速,0.7193
5,医药,生物制品,心脉医疗,432,1 594,13%,18%,190,638,3%,13%,,外周介入产品注册完善，海外市场高速增长,0.74561
5,医药,生物制品,甘李药业,1 200,4 500,11%,11%,400,1 430,37%,30%,,三代胰岛素龙头，研发及出海进度领跑,0.77339
5,医药,生物制品,特宝生物,1 046,4 435,25%,20%,308,1 250,25%,21%,,慢乙肝治愈龙头，长效干扰素持续放量，生长激素贡献增量业绩,0.79974
5,医药,医疗服务,爱尔眼科,5810,24141,6%,8%,1061,2975,6%,-8%,,眼科医疗服务龙头，屈光高端术式放量贡献增长,0.82879
5,医药,医疗服务,通策医疗,809,3263,15%,12%,158,562,15%,12%,,齿科医疗服务龙头，大部制改革初显成效,0.85526
5,医药,医疗服务,华厦眼科,1119,4470,7%,8%,142,476,7%,8%,,眼科医疗服务龙头，屈光高端术式放量贡献增长,0.88308
5,医药,药店,益丰药房,6 055,26 472,6%,8%,484,1 886,13%,12%,,,0.92553
5,医药,药店,大参林,6 796,28 958,4%,5%,423,1 471,25%,19%,,降本增效成果显著，26年继续在自建并购加盟方面加速扩张。,0.9664
6,医药,中药,东阿阿胶,1 399,7 513,5%,12%,420,1 994,7%,15%,,稳增长高股息的优质中药消费标的，十五五战略值得关注。,0.0251
6,医药,中药,济川药业,1 223,6 224,0%,0%,298,1 783,5%,0%,,在手现金充足、高股息中药标的。,0.04317
6,电新,,钧达股份,0,2500~255 10000~10050,41%,31%,-30~20,350~400,同比减亏,同比扭亏,,独立电池片供应龙头，太空光伏引领者,0.18576
6,电新,,爱旭股份,0,5050~510 20350~20400,18%,30%,-200~-250,500~550,同比亏损,同比扭亏,,BC路线唯二量产企业，有望率先走出周期底部,0.22303
6,电新,,迈为股份,,1450~150 9000~9050,-26%,11%,90~140,700~750,-50%,0%,,GW级方案引领HJT产业化加速，半导体、显示领域再获突破。,0.26005
6,电新,,福斯特,4000,16000,-8%,3%,130~170,500~700,217%,69%,,光伏胶膜龙头，成本优势显著，电子材料逐步放量,0.28929
6,电新,,横店东磁,5600,23000,-17%,2%,-1300~-1000,-3500~-2000,-33%,0%,,磁材+新能源双轮驱动，差异化战略保障光伏盈利领先,0.31627
6,电新,,隆基绿能,15000,60000,-22%,-15%,-2000~-1300,-5000~-3000,-46%,38%,,硅片、一体化龙头，BC出货量逐季提升，有望率先走出底部,0.35442
6,电新,,天合光能,20000,78000,20%,16%,0~300,-1000~500,109%,96%,,一体化龙头，储能快速放量，分布式、支架等多业务协同发展,0.39258
6,电新,,晶科能源,15000,60000,-17%,-8%,-1300~-1000,-3000~-2000,24%,64%,,一体化龙头，TOPCon技术行业领先,0.42972
6,电新,光伏,阿特斯,9000,38000,-28%,-6%,200~400,1500~2000,-56%,72%,,一体化及大储龙头，大储盈利维持较高水平,0.46683
6,电新,光伏,晶澳科技,9500,43000,-28%,-12%,-2000~-1300,-5000~-3000,-22%,40%,,一体化龙头,0.50402
6,电新,光伏,通威股份,11000,60000,-55%,-29%,300~450,1700~2000,-10%,27%,,多晶硅、电池片双龙头，成本行业领先,0.54116
6,电新,光伏,TCL中环,6500,28000,-11%,-4%,-3000~-2200,-8000~-6000,29%,46%,,光伏硅片龙头,0.57928
6,电新,光伏,永臻股份,2500,12000,-20%,12%,-1800~-1500,-6000~-4000,-50%,168%,,光伏边框龙头，越南产能高溢价，收购捷诺威布局液冷第二成长曲线,0.61647
6,电新,光伏,联泓新科,2300,9000,68%,42%,0~25,100~200,68%,96%,,EVA树脂龙头，电解液溶剂、VC、隔膜原材料等锂电材料逐步放量,0.65361
6,电新,,福莱特,3300,14000,-10%,-10%,150~450,1200~1400,-165%,-100%,,光伏玻璃龙头，成本持续领先行业,0.69076
6,电新,,美畅股份,550,2400,-6%,11%,-300~100,-200~200,55%,105%,,金刚线龙头，钨丝快速渗透带动盈利修复,0.71988
6,电新,,捷佳伟创,1450~150,6500~6550 -65%,,-58%,70~110,400~600,-78%,-59%,,TOPCon电池片设备龙头，平台化布局拓宽公司成长空间。,0.74507
6,电新,,奥特维,,2050~210 7450~7500,12%,17%,100~150,600~650,-25%,40%,,光伏业务订单企稳，光模块检测设备+固态设备重新打开想象空间,0.77697
6,电新,,高测股份,,950~1000 4150~4200,27%,14%,0~50,150~200,同比扭亏,同比扭亏,,充分发挥技术闭环研发优势，新产品迭代助力公司穿越周期。,0.81325
6,电新,,拉普拉斯,,1350~140 5450~5500 -15%,,0%,150~200,650~700,21%,8%,,BC镀膜设备市占率接近100％，新技术迭代推动量价齐升。,0.84839
6,电新,储能,帝尔激光,,650~700 2600~2650,11%,29%,150~200,650~700,7%,30%,,光伏激光技术开拓者，全电池路线产品布局，龙头地位稳固,0.88455
6,电新,储能,聚和材料,0,5500~555 22050~22100,61%,51%,250~300,1000~1050,202%,144%,,光伏银浆龙头，收购blankmask海外公司，搭建平台型材料企业。,0.92369
6,电新,储能,阳光电源,28160 05,106592,15%,20%,3000,15802,-26%,17%,,光储龙头，转型AIDC电源,0.9508
6,电新,储能,德业股份,5344 2,20710,80%,69%,1900,5447,133%,72%,,光储龙头，户储&工商储高增长,0.96988
6,电新,储能,科士达,1523 75,6952,25%,32%,190,904,32%,48%,,UPS&户储龙头，数据中心业务高景气,0.98695
7,电新,液冷,申菱环境,T10650:170 6750-6800,,59%,61%,100~150,400~450,30%,96%,,垂直一体化温控解决方案商，数据中心+电力板块双轮驱动。,0.01965
7,电新,液冷,科创新源,,500~550 2000~2050 82% 75%,,,0~50,200~250,233%,525%,,"“材料＋部件""垂直整合，卡位服务器液冷赛道前排",0.04796
7,电新,液冷,宁德时代,160000~170000,600000,70%,40%,24000~26000,100000,52%,39%,,锂电龙头，盈利、份额均呈现超额韧性+弹性,0.07783
7,电新,液冷,恩捷股份,4485~4680,18600,50% 37%,,300~350,2000,同比扭亏,1300%,,锂电隔膜龙头，盈利、份额均呈现超额韧性+弹性,0.10928
7,电新,液冷,星源材质,1100~130,6000,20%,45%,120~180,480~720,178%,1567%,V,Q2干法、湿法价格利润均呈现改善，业绩修复弹性大,0.13994
7,电新,,厦钨新能,,26150,52%,30%,230~260,1100,29%,46%,,钴酸锂稳健龙头，硫化锂、NL结构正极等新技术领先,0.16903
7,电新,锂电,天赐材料,7600~8000,33000,118%,99%,1400~1700,6700,1213%,392%,,锂电电解液龙头，盈利、份额均呈现超额韧性+弹性,0.19737
7,电新,锂电,亿纬锂能,24658,99323,60%,62%,1684~1925 7000~7500,,257%,74%,,储能电池领军企业，高稼动率，盈利稳健,0.2272
7,电新,锂电,蔚蓝锂芯,2800,10071,40%,24%,280~320,1100~1300,52%,55%,V,小圆柱电池龙头，全极耳电池开始放量,0.25708
7,电新,锂电,鹏辉能源,7600,23146,191%,94%,450~500,1700~2000-1198%,,725%,,储能电池领军企业，大储+户储盈利修复,0.2862
7,电新,锂电,富临精工,6500,36268,109%,169%,300~350,1600~1800,610%,298%,,高压实铁锂龙头企业，份额、盈利稳步上行,0.31614
7,电新,锂电,湖南裕能,16000,63622,111%,84%,1000~1500 3800~4500,,545%,213%,,铁锂龙头企业，受益碳酸锂库存+铁锂提价,0.3467
7,电新,锂电,万润新能,4600,28311,113%,146%,300~350,1100~1400,-318%,转正,,铁锂领军企业，受益碳酸锂库存+铁锂提价,0.37736
7,电新,锂电,尚太科技,2450,10132,39%,28%,220~250,1100~1300,0%,27%,,负极龙头企业，受益提价,0.40645
7,电新,锂电,中科电气,2800,11042,39%,30%,70~100,75~85,-42%,38%,,负极龙头企业，受益提价,0.42689
7,电新,,璞泰来,5100,20555,32%,31%,700~730,3000~3400,27%,81%,,隔膜涂覆龙头企业，受益隔膜、负极、PVDF等需求增长,0.45117
7,电新,氢能,科达利,4700,20115,30%,32%,500~550,2200~2400,38%,981%,,结构件龙头企业，受益电池需求增长,0.48111
7,电新,氢能,多氟多,3700,16904,,79%,400~500,2000~2200,转正,2455%,,6F企业，受益6F价格高位及氟化工涨价,0.51177
7,电新,氢能,华盛锂电,400,1500,,73%,,,转正,,,VC龙头，受益VC价格高位,0.53381
7,电新,氢能,海科新源,1600,7200,,43%,,,转正,,,溶剂龙头，受益VC价格高位及丙二醇提价,0.54796
7,电新,氢能,嘉泽新能,600,2530,,1%,,,-40%,,,绿醇核心标的加速布局，风电主业稳增提供安全边际,0.56368
7,电新,氢能,华电科工,2900,12014,,15%,,,4%,,,电解槽头部公司，海风工程今年30亿项目已开工贡献利润增量,0.57856
7,电新,氢能,科威尔,200,638,,24%,,,60%,,,拓展数据中心测试电源业务，光储、锂电设备底部企稳，再迎成长,0.59278
7,电新,氢能,电投绿能,3500,13953,,6%,,,310%,,,绿醇5万吨项目已投产，辐射海外，LNG储运罐和加注船需求旺盛,0.6077
7,电新,氢能,思源电气,7115,28500,,32%,,,30%,,,输变电一次设备民企龙头，海外业务快速增长,0.62264
7,电新,氢能,金塩科技,2264,9500,,30%,,,30%,,,AIDC配电变压器龙头，海外订单持续兑现，SST进展顺利,0.63758
7,电新,氢能,三星电气,4341,16500,,15%,,,20%,,,配用电&医疗双轮驱动，海外配电业务进展迅速,0.65244
7,电新,中网则T坨,明阳电气,1410,8000,,16%,126,700,-35%,,,深耕新能源变压器，海风、储能、数据中心下游扩容＋新品类拓展＋出海贡 献成长性,0.67531
7,电新,中网则T坨,平高电气,3504,14500,,16%,352,1350,15%,,,高压开关龙头，受益于特高压、配网建设,0.69654
7,电新,中网则T坨,中国西电,7163,28000,18%,18%,,1550,25%,,,一次设备龙头，受益特高压&主网建设，网外&海外市场贡献新增量,0.72017
7,电新,中网则T坨,海兴电力,1310,5500,15%,15%,,850,5%,驱EXIx,,电表出海龙头，海外新能源&配电业务加速拓展,0.74204
7,电新,中网则T坨,国能日新,228,900,30%,25%,,170,30%,,,功率预测领先地位稳固，受益于电改进程持续推进,0.75708
